acqic,bacno,cano,conam,contp,csmcu,ecfg,etymd,flbmk,flg_3dsmk,fraud_ind,hcefg,insfg,iterm,locdt,loctm,mcc,mchno,ovrlt,scity,stocn,stscd,txkey
3348,93717,2802,1016.34,5,62,Y,8,N,N,1,5,N,0,15,182925.0,289,54828,N,3460,46,0,665078
6856,1658,162764,108.57,5,62,Y,8,N,N,1,5,N,0,28,83600.0,288,69240,N,0,104,0,1564371
5858,162891,78401,812.26,5,62,Y,8,N,N,1,5,N,0,73,131535.0,337,73915,N,5404,55,0,760165
6760,7463,35334,1013.55,5,60,Y,2,N,N,1,5,N,0,71,4125.0,192,66634,N,6593,75,0,1907871
5975,114034,104958,275.39,5,62,N,4,N,N,1,5,N,0,19,161230.0,275,93039,N,5817,102,0,1415877
3183,52074,148023,1110.54,5,61,Y,8,N,N,1,5,N,0,7,121546.0,277,100398,N,2481,104,0,651410
5575,17286,104172,1003.56,5,60,Y,8,N,N,1,5,N,0,33,4105.0,36,42624,N,2649,46,0,693234
3581,134542,103268,0.0,5,28,Y,8,N,N,1,5,N,0,33,223537.0,446,69058,N,4635,53,2,695518
3221,34824,130403,966.55,5,61,Y,8,N,N,1,5,N,0,32,10550.0,288,55807,N,6580,104,0,691474
5720,156870,24682,407.66,5,14,Y,8,N,N,1,5,N,0,33,24357.0,408,67603,N,6577,46,2,693615
3221,22018,65232,101.02,5,61,Y,8,N,N,1,5,N,0,33,161735.0,288,55807,N,6580,104,0,694967
6215,26537,124647,0.0,5,62,N,2,N,N,1,5,N,0,33,183430.0,380,54238,N,6580,38,0,1868001
3581,57882,75495,0.0,5,28,Y,8,N,N,1,5,N,0,33,213739.0,446,69058,N,4635,53,2,695445
3429,107667,17315,1076.69,5,71,Y,8,N,N,1,5,N,0,33,35807.0,296,72070,N,3150,27,2,694087
3348,97114,195043,1016.34,5,62,Y,8,N,N,1,5,N,0,33,162001.0,289,54828,N,3460,46,0,694974
3468,156870,24682,938.9,5,61,Y,8,N,N,1,5,N,0,33,24348.0,277,68152,N,4516,104,2,693611
3487,124855,136625,2013.36,5,26,Y,8,N,N,1,5,N,0,32,125859.0,203,43127,Y,6368,92,2,692191
3221,78273,141394,2121.68,5,61,Y,8,N,N,1,5,N,0,34,62656.0,286,45596,Y,1060,104,2,696880
5720,76893,201141,0.0,5,62,Y,8,N,N,1,5,N,0,34,122338.0,192,67588,N,6593,75,0,697244
3348,70583,188016,1016.34,5,62,Y,8,N,N,1,5,N,0,32,195855.0,380,54238,N,6580,38,0,692930
6760,18793,168526,439.85,5,60,Y,2,N,N,1,5,N,0,33,170220.0,192,66634,N,6593,75,0,1867919
3357,118402,182908,102.61,5,61,Y,8,N,N,1,5,N,0,34,2501.0,367,55027,N,6576,46,2,696184
3357,118402,182908,102.61,5,61,Y,8,N,N,1,5,N,0,34,2512.0,367,55027,N,6576,46,2,696196
3357,118402,182908,102.61,5,61,Y,8,N,N,1,5,N,0,34,2501.0,367,55027,N,6576,46,2,696166
6859,69140,136112,110.79,5,62,N,2,N,N,1,5,N,0,32,144055.0,250,59702,N,0,1,2,1067217
3348,66435,165560,407.87,5,62,Y,8,N,N,1,5,N,0,32,21305.0,380,54238,Y,6580,38,0,691620
6128,138051,169489,1301.83,5,38,Y,2,N,N,1,5,N,0,32,205305.0,305,55491,N,2342,78,0,1866890
3221,587,102284,0.0,5,61,Y,8,N,N,1,5,N,0,33,113327.0,289,45597,N,1337,104,2,694587
3221,9814,172985,942.55,5,61,Y,8,N,N,1,5,N,0,34,4721.0,288,55807,N,6580,104,0,696277
5597,120835,29296,820.46,4,61,Y,8,N,N,1,5,N,0,34,60916.0,321,65018,N,5491,93,0,696871
3288,91688,42331,1.38,5,62,Y,8,N,N,1,5,N,0,33,203617.0,337,20984,N,621,93,2,695349
6161,25280,188284,528.38,5,61,Y,2,N,N,1,5,N,0,32,204702.0,273,67506,N,858,104,0,1866872
3221,47399,80960,102.61,5,61,Y,8,N,N,1,5,N,0,34,154249.0,289,45597,N,1337,104,2,697510
6215,142638,118092,177.04,5,62,Y,2,N,N,1,5,N,0,32,12139.0,380,54238,N,6580,38,0,1865977
3221,140259,206464,918.21,5,61,Y,8,N,N,1,5,N,0,33,24923.0,296,55452,N,1564,104,2,693402
6540,134304,105425,0.0,5,61,N,2,N,N,1,5,N,0,33,121313.0,289,45597,N,1337,104,2,1867642
3221,22953,96017,0.0,5,61,Y,8,N,N,1,5,N,0,33,40936.0,289,45597,N,1337,104,2,693696
3288,156870,24682,1.38,5,62,Y,8,N,N,1,5,N,0,33,24347.0,337,20984,N,621,93,2,693609
3357,38602,3654,632.98,5,10,Y,8,N,N,1,5,N,0,35,144833.0,192,56028,N,1034,75,0,699179
3348,51089,22708,599.14,5,62,Y,8,N,N,1,5,N,0,66,161011.0,289,54828,N,3460,46,0,749593
3221,107413,1841,0.0,5,61,Y,8,N,N,1,5,N,0,34,104251.0,289,45597,N,1337,104,2,697103
3221,149506,157883,941.18,5,61,Y,8,N,N,1,5,N,0,33,135829.0,288,55807,N,6580,104,0,694795
3292,156870,24682,286.34,5,61,Y,8,N,N,1,5,N,0,33,32036.0,294,58277,N,4245,104,2,693824
3207,104965,169907,0.0,5,61,Y,8,N,N,1,5,N,0,32,51737.0,292,11971,N,4528,104,2,691803
5720,42943,66032,1682.33,5,54,Y,8,N,N,1,5,N,0,70,3821.0,203,67656,N,1803,75,2,754854
6859,85667,29155,102.22,5,62,N,2,N,N,1,5,N,0,36,191849.0,250,59700,N,0,1,0,1069624
5754,140259,206464,1013.66,5,61,Y,8,N,N,1,5,N,0,33,24919.0,296,67768,N,2089,104,2,693423
6540,8576,95566,941.24,5,61,Y,2,N,N,1,5,N,0,33,131626.0,288,55807,N,6580,104,0,1867695
3357,118402,182908,102.61,5,61,Y,8,N,N,1,5,N,0,34,2501.0,367,55027,N,6576,46,2,696185
3348,49980,86511,524.74,5,62,Y,8,N,N,1,5,N,0,64,212350.0,380,54238,N,6580,38,0,746733
3288,109532,106987,0.0,5,62,Y,8,N,N,1,5,N,0,34,3159.0,337,20984,N,621,93,0,696118
5725,140259,206464,253.05,5,61,Y,8,N,N,1,5,N,0,33,24910.0,408,11616,N,1088,104,2,693413
6331,157043,141981,286.36,5,61,Y,2,N,N,1,5,N,0,32,63101.0,192,11801,N,5320,104,0,1866091
3207,118402,182908,0.0,5,61,Y,8,N,N,1,5,N,0,34,2624.0,218,11789,N,5583,104,0,696229
3429,104965,169907,847.74,5,71,Y,8,N,N,1,5,N,0,32,51728.0,296,72070,N,3150,27,2,691809
3164,134008,161690,734.15,5,26,N,9,N,N,1,5,N,0,37,124424.0,257,29769,Y,5932,52,0,702456
3207,102499,136779,0.0,5,61,Y,8,N,N,1,5,N,0,33,33848.0,292,11971,N,4528,104,2,693932
5720,118402,182908,102.61,5,61,Y,8,N,N,1,5,N,0,34,2501.0,367,67602,N,6576,46,2,696170
3348,33,44120,713.91,5,62,Y,8,N,N,1,5,N,0,33,170234.0,289,54828,N,3460,46,0,695028
3348,118298,90463,155.07,5,62,Y,8,N,N,1,5,N,0,33,115956.0,380,54238,N,6580,38,0,694552
5754,34617,30905,1949.46,5,61,Y,8,N,N,1,5,N,0,32,231755.0,277,67759,N,4099,104,2,693173
3221,140259,206464,381.48,5,61,N,2,N,N,1,5,N,0,33,24931.0,212,73736,N,4508,104,2,693407
3207,47929,160241,0.0,5,61,Y,8,N,N,1,5,N,0,33,35140.0,337,11796,N,5320,104,2,694030
6566,63652,109811,1381.38,5,26,Y,2,N,N,1,5,N,0,36,12638.0,329,43614,N,236,52,2,1870609
6859,75113,27172,605.25,5,62,N,2,N,N,1,5,N,0,36,193517.0,250,59700,N,0,1,0,926301
6126,65467,6346,102.14,5,61,Y,2,N,N,1,5,N,0,38,130101.0,296,61169,N,667,104,2,1873069
3348,107667,17315,92.99,5,50,Y,8,N,N,1,5,N,0,33,35759.0,367,54173,N,6576,46,2,694056
3183,140259,206464,1288.01,5,61,Y,8,N,N,1,5,N,0,33,24854.0,257,100474,N,4777,104,2,693388
6540,137284,154094,2209.97,5,61,Y,2,N,N,1,5,N,0,33,64550.0,286,45596,N,1060,104,2,1867389
1896,134022,105330,974.25,5,4,Y,8,N,N,1,5,N,0,34,144504.0,209,59424,N,0,6,2,697445
3221,134010,75363,942.07,5,61,Y,8,N,N,1,5,N,0,33,202436.0,288,55807,N,6580,104,0,695235
3292,156870,24682,1047.71,5,61,Y,8,N,N,1,5,N,0,33,24419.0,292,58268,N,3079,104,2,693356
3207,22953,96017,0.0,5,61,Y,8,N,N,1,5,N,0,33,30959.0,292,11971,N,4528,104,2,693761
3452,37645,165911,1923.45,5,61,Y,8,N,N,1,5,N,0,32,190735.0,246,58742,N,1910,104,2,692818
3348,66435,165560,407.87,5,62,Y,8,N,N,1,5,N,0,32,11841.0,380,54238,N,6580,38,0,691553
3348,102499,136779,92.99,5,50,Y,8,N,N,1,5,N,0,33,33825.0,367,54173,Y,6576,46,2,693939
6215,131088,111552,103.48,5,62,Y,2,N,N,1,5,N,0,32,111842.0,380,54238,N,6580,38,0,1866293
3221,156870,24682,381.48,5,61,N,2,N,N,1,5,N,0,33,24541.0,212,73736,N,4508,104,2,693378
6215,129635,105372,713.91,5,62,Y,2,N,N,1,5,N,0,33,155218.0,289,54828,N,3460,46,0,1867854
6716,95277,110910,513.8,5,62,N,5,N,N,1,5,N,0,32,153459.0,417,48310,N,4526,102,0,1709828
6760,10104,41232,637.21,5,10,Y,2,N,N,1,5,N,0,34,70847.0,192,66634,N,6593,75,0,1868577
3348,103403,72001,652.61,5,62,Y,8,N,N,1,5,N,0,32,74955.0,380,54238,N,6580,38,0,691882
3348,83447,27303,288.05,5,62,Y,8,N,N,1,5,N,0,68,53700.0,289,54828,N,3460,46,0,752066
6288,42129,98134,1651.01,5,62,Y,2,N,N,1,5,N,0,32,110006.0,441,20984,N,621,93,0,1866193
5652,140259,206464,723.15,5,60,Y,8,N,N,1,5,N,0,33,24934.0,309,56466,N,155,38,2,693438
6760,2774,98412,0.0,5,62,N,2,N,N,1,5,N,0,32,181841.0,192,66634,N,6593,75,0,1866761
5495,122978,199752,479.95,5,61,Y,8,N,N,1,5,N,0,32,21357.0,337,10975,N,5320,104,0,691621
6760,91014,40579,315.62,5,71,Y,2,N,N,1,5,N,0,32,11235.0,192,66634,N,6593,75,2,1865970
3348,131592,149007,794.93,5,62,Y,8,N,N,1,5,N,0,32,2329.0,289,54828,N,3460,46,0,691413
6760,127585,61198,493.68,5,10,Y,2,N,N,1,5,N,0,33,74949.0,192,66634,N,6593,75,0,1867438
6288,158912,100250,1657.38,5,62,Y,2,N,N,1,5,N,0,33,123555.0,210,20984,N,621,93,0,1867597
6716,95277,110910,443.9,5,62,N,5,N,N,1,5,N,0,32,152541.0,417,48330,N,4526,102,0,1709820
3348,103187,104380,1016.34,5,62,Y,8,N,N,1,5,N,0,32,223414.0,380,54238,N,6580,38,0,693123
3357,118402,182908,102.61,5,61,Y,8,N,N,1,5,N,0,34,2504.0,367,55027,N,874,46,2,696210
3221,6661,23114,102.61,5,61,Y,8,N,N,1,5,N,0,33,131030.0,289,45597,N,1337,104,2,694736
5675,91688,42331,1111.49,5,61,Y,8,N,N,1,5,N,0,34,75853.0,272,44154,N,5146,104,2,696947
3207,1829,160844,1193.91,5,61,Y,8,N,N,1,5,N,0,32,235621.0,192,11801,N,5320,104,0,693166
3221,89693,56658,627.26,5,61,Y,8,N,N,1,5,N,0,33,220457.0,246,46135,N,1910,104,0,695558
3292,156870,24682,0.0,5,61,Y,8,N,N,1,5,N,0,33,32026.0,294,58277,N,4245,104,0,693823
3348,17730,185679,168.2,5,62,Y,8,N,N,1,5,N,0,34,63701.0,380,54238,N,6580,38,0,696891
5720,92150,124780,909.24,5,60,Y,8,N,N,1,5,N,0,33,2735.0,192,67588,N,6593,75,0,693275
6540,99265,160964,0.0,5,61,N,2,N,N,1,5,N,0,32,193453.0,289,45597,N,1337,104,2,1866842
3221,117981,198460,940.09,5,61,Y,8,N,N,1,5,N,0,41,22050.0,288,55807,N,6580,104,0,708224
3288,93464,152702,1.38,5,62,Y,8,N,N,1,5,N,0,43,113928.0,337,20984,N,621,93,2,711832
3221,38073,103669,1748.29,5,61,Y,8,N,N,1,5,N,0,44,72034.0,337,55656,N,6583,104,0,713212
3207,134542,103268,916.36,5,61,Y,8,N,N,1,5,N,0,33,223400.0,308,11835,N,2674,104,0,695507
5720,142835,85391,712.15,5,60,Y,8,N,N,1,5,N,0,36,50818.0,192,67588,N,6593,75,0,700225
5496,91688,42331,103.38,5,61,Y,8,N,N,1,5,N,0,33,203146.0,433,11265,N,3854,104,2,695329
3357,156870,24682,102.61,5,61,Y,8,N,N,1,5,N,0,33,24507.0,367,55027,N,6576,46,2,693349
6777,30042,140450,229.88,5,62,Y,8,N,N,1,5,N,0,64,233841.0,432,2171,N,5817,102,0,1158209
3350,32116,14798,3087.59,5,61,N,2,N,N,1,5,N,0,68,53808.0,270,63201,N,2430,104,0,752068
3207,156870,24682,652.53,5,61,Y,8,N,N,1,5,N,0,33,24450.0,408,11867,N,5117,104,2,693370
3221,76893,201141,102.61,5,61,Y,8,N,N,1,5,N,0,34,135358.0,289,45597,N,1337,104,2,697363
3207,68386,64110,402.06,5,61,Y,8,N,N,1,5,N,0,33,62056.0,192,11801,N,5320,104,0,694216
5720,52275,145200,817.27,5,10,Y,8,N,N,1,5,N,0,32,25012.0,192,67588,N,6593,75,0,691684
6859,123280,168886,110.79,5,62,N,2,N,N,1,5,N,0,32,144444.0,250,59702,N,0,1,2,852694
3357,142943,153059,0.0,5,62,Y,8,N,N,1,5,N,0,32,43203.0,192,56035,N,3199,75,0,691694
3221,108534,137937,2129.22,5,61,Y,8,N,N,1,5,N,0,34,25158.0,286,45596,Y,1060,104,2,696399
5529,140259,206464,849.6,5,61,Y,8,N,N,1,5,N,0,33,25040.0,250,21145,N,4657,42,2,693436
5720,119727,131741,334.86,5,60,Y,8,N,N,1,5,N,0,37,61446.0,192,67588,N,6593,75,2,701875
6878,142597,189298,0.07,4,62,N,2,N,N,1,5,N,0,35,183134.0,318,58188,N,0,52,2,1711477
3288,93922,117173,2181.49,5,62,Y,8,N,N,1,5,N,0,37,185102.0,362,20984,Y,621,93,0,702987
3221,36467,192229,942.07,5,61,Y,8,N,N,1,5,N,0,33,185901.0,288,55807,N,6580,104,0,695178
3348,100902,16390,288.05,5,62,Y,8,N,N,1,5,N,0,33,173116.0,289,54828,N,3460,46,0,695067
5528,118402,182908,0.0,5,61,Y,8,N,N,1,5,N,0,34,2435.0,349,55322,N,715,38,0,696177
6540,88455,1474,0.0,5,61,N,2,N,N,1,5,N,0,65,205257.0,349,42843,N,654,104,0,1902636
3207,118402,182908,1687.54,5,61,Y,8,N,N,1,5,N,0,34,2445.0,291,10518,N,466,104,2,696178
3348,44340,194805,1016.34,5,62,Y,8,N,N,1,5,N,0,32,200637.0,380,54238,N,6580,38,0,692944
3221,156870,24682,102.61,5,61,Y,8,N,N,1,5,N,0,33,24848.0,289,45597,N,1337,104,2,693398
5720,91688,42331,407.66,5,14,Y,8,N,N,1,5,N,0,33,203143.0,408,67603,N,6577,46,2,695326
6760,56165,148264,253.3,5,10,Y,2,N,N,1,5,N,0,34,65723.0,192,66634,N,6593,75,2,1868573
6189,153508,187002,0.0,5,62,N,2,N,N,1,5,N,0,34,142024.0,192,90135,N,1458,102,0,1868903
3207,156870,24682,528.46,5,61,Y,8,N,N,1,5,N,0,33,24422.0,376,10518,N,562,104,2,693357
5720,129866,55739,764.55,5,71,Y,8,N,N,1,5,N,0,33,191238.0,192,67588,N,6593,75,0,695202
6215,61658,182535,794.93,5,62,Y,2,N,N,1,5,N,0,33,1146.0,289,54828,N,3460,46,0,1867227
5720,100413,41428,455.66,5,60,Y,8,N,N,1,5,N,0,34,4741.0,192,67588,N,6593,75,0,696279
3348,152530,68930,566.92,5,62,Y,8,N,N,1,5,N,0,34,110411.0,380,54238,N,6580,38,0,697137
3207,68386,64110,501.89,5,61,Y,8,N,N,1,5,N,0,33,71729.0,192,11801,N,5320,104,0,694260
3221,5880,22203,2129.22,5,61,Y,8,N,N,1,5,N,0,34,25026.0,286,45596,Y,1060,104,2,696394
3348,62138,50306,1016.34,5,62,Y,8,N,N,1,5,N,0,32,182532.0,380,54238,N,6580,38,0,692708
6215,6976,110019,1016.34,5,62,Y,2,N,N,1,5,N,0,67,125233.0,289,54828,N,3460,46,0,1904304
5720,156870,24682,700.42,5,71,Y,8,N,N,1,5,N,0,33,24357.0,296,67681,N,3323,27,2,693618
3221,47057,83290,2062.13,5,61,Y,8,N,N,1,5,N,0,34,55233.0,286,45596,N,1060,104,2,696813
6215,30371,138282,522.58,5,62,Y,2,N,N,1,5,N,0,70,122358.0,289,54828,N,3460,46,0,1907252
6215,30371,138282,380.94,5,62,Y,2,N,N,1,5,N,0,35,122321.0,289,54828,N,3460,46,0,1869975
6859,120119,109675,605.25,5,62,N,2,N,N,1,5,N,0,36,193055.0,250,59700,Y,0,1,0,1426459
3218,77441,206437,107.88,5,38,N,5,N,N,1,5,N,0,38,43336.0,384,55432,Y,3203,78,0,703655
3348,66435,165560,288.05,5,62,Y,8,N,N,1,5,N,0,32,24844.0,380,54238,Y,6580,38,2,691679
5720,89135,151751,357.23,5,10,Y,8,N,N,1,5,N,0,33,70903.0,192,67588,N,6593,75,0,694248
5714,101201,142376,154.99,5,71,N,2,N,N,1,5,N,0,34,112225.0,373,42106,Y,3903,36,0,697150
3221,118402,182908,1985.17,5,61,Y,8,N,N,1,5,N,0,34,2230.0,247,74288,N,1613,104,0,696153
3348,150049,15710,0.0,5,62,Y,8,N,N,1,5,N,0,67,163229.0,380,54238,N,6580,38,0,751232
3288,100386,183039,550.32,5,62,Y,8,N,N,1,5,N,0,33,92305.0,408,20984,N,621,93,0,694394
6215,120301,48070,254.99,5,62,Y,2,N,N,1,5,N,0,65,231552.0,380,54238,N,6580,38,0,1902800
3348,127730,20312,236.43,5,62,Y,8,N,N,1,5,N,0,33,15356.0,380,54238,N,6580,38,2,693302
6760,88833,136729,483.95,5,60,Y,2,N,N,1,5,N,0,34,155540.0,192,66634,Y,6593,75,0,1869116
6540,155287,87838,1240.51,5,61,Y,2,N,N,1,5,N,0,39,11914.0,366,74063,N,1696,104,0,1873881
6215,23639,85111,1016.34,5,62,Y,2,N,N,1,5,N,0,34,14137.0,380,54238,N,6580,38,0,1868362
6760,56885,50564,717.18,5,60,Y,2,N,N,1,5,N,0,34,15839.0,192,66634,N,6593,75,0,1868465
5642,29951,95350,117.41,5,71,Y,8,N,N,1,5,N,0,33,40305.0,408,59621,Y,6162,36,2,694122
6540,163864,172123,941.28,5,61,Y,2,N,N,1,5,N,0,32,174159.0,288,55807,N,6580,104,0,1866657
3348,57094,194537,1016.34,5,62,Y,8,N,N,1,5,N,0,66,164015.0,289,54828,N,3460,46,0,749644
3221,156870,24682,102.61,5,61,Y,8,N,N,1,5,N,0,33,24320.0,288,55807,N,6580,104,2,693581
3245,25163,86688,1821.5,5,61,Y,8,N,N,1,5,N,0,68,163108.0,311,39207,N,898,104,0,752690
6760,674,90253,335.56,5,60,Y,2,N,N,1,5,N,0,33,200825.0,192,66634,N,6593,75,0,1868025
5580,15860,72547,1802.81,5,62,Y,8,N,N,1,5,N,0,35,204158.0,275,20980,N,621,104,0,699719
3348,58041,83805,103.48,5,62,Y,8,N,N,1,5,N,0,70,142311.0,289,54828,N,3460,46,0,755653
3348,152737,84592,1016.34,5,62,Y,8,N,N,1,5,N,0,39,204202.0,289,54828,N,3460,46,0,706212
3221,49935,88730,2129.22,5,61,Y,8,N,N,1,5,N,0,34,25214.0,286,45596,N,1060,104,2,696400
3348,140259,206464,112.34,5,59,Y,8,N,N,1,5,N,0,33,25306.0,367,56174,N,6576,46,2,693472
3288,107667,17315,1.38,5,62,Y,8,N,N,1,5,N,0,33,35816.0,337,20984,N,621,93,2,694090
6288,158912,100250,1657.38,5,62,Y,2,N,N,1,5,N,0,33,123629.0,210,20984,N,621,93,0,1867599
6215,151836,161120,954.83,5,62,Y,2,N,N,1,5,N,0,33,212359.0,289,54828,N,3460,46,0,1868180
3221,116298,132660,941.22,5,61,Y,8,N,N,1,5,N,0,33,14118.0,288,55807,N,6580,104,0,693347
5720,81949,186956,774.08,5,60,Y,8,N,N,1,5,N,0,33,190930.0,192,67588,N,6593,75,0,695199
5720,129866,55739,0.0,5,62,Y,8,N,N,1,5,N,0,33,191228.0,192,67588,N,6593,75,0,695205
3221,89693,56658,2396.23,5,61,Y,8,N,N,1,5,N,0,33,220424.0,375,54219,N,6583,104,0,695416
3348,150153,177250,1016.34,5,62,Y,8,N,N,1,5,N,0,34,143749.0,289,54828,N,3460,46,0,697441
3207,19924,99657,0.0,5,61,Y,8,N,N,1,5,N,0,33,34142.0,292,11971,N,4528,104,2,693983
6760,100456,144111,335.56,5,60,Y,2,N,N,1,5,N,0,32,222305.0,192,66634,N,6593,75,0,1867147
6331,144076,43243,1575.14,5,61,Y,2,N,N,1,5,N,0,34,111909.0,329,12134,Y,4528,104,2,1868674
3288,91688,42331,1.38,5,62,Y,8,N,N,1,5,N,0,33,203210.0,337,20984,N,621,93,2,695336
6859,161059,5590,102.16,5,62,N,2,N,N,1,5,N,0,37,85852.0,250,59700,N,0,1,0,1212878
6540,103240,178841,942.13,5,61,Y,2,N,N,1,5,N,0,33,205652.0,288,55807,N,6580,104,0,1868135
6881,112422,108922,513.8,5,0,N,0,N,N,1,5,N,0,46,55411.0,457,58595,N,0,102,0,530312
6331,82147,95140,102.37,5,61,Y,2,N,N,1,5,N,0,47,160020.0,408,11873,N,3441,104,2,1883229
6122,96515,162277,949.23,5,62,Y,2,N,N,1,5,N,0,33,115028.0,248,20980,N,621,104,0,1867623
6562,109857,73269,2731.22,5,13,Y,2,N,N,1,5,N,0,32,181832.0,44,58297,N,1759,20,0,1866763
3348,74104,3672,1016.34,5,62,Y,8,N,N,1,5,N,0,32,5059.0,289,54828,N,3460,46,0,691507
3221,148652,27023,0.0,5,61,Y,8,N,N,1,5,N,0,33,165429.0,289,45597,N,1337,104,2,694937
6191,7281,38647,750.12,5,61,Y,2,N,N,1,5,N,0,40,44526.0,441,67383,N,4558,25,2,1875270
5720,58206,124772,584.25,5,60,Y,8,N,N,1,5,N,0,43,63402.0,192,67588,N,6593,75,0,711456
3207,102499,136779,0.0,5,61,Y,8,N,N,1,5,N,0,33,33836.0,292,11971,N,4528,104,2,693945
6305,85524,153679,924.64,5,61,Y,2,N,N,1,5,N,0,40,45735.0,273,64055,N,4894,104,2,1875278
3207,107667,17315,102.61,5,61,Y,8,N,N,1,5,N,0,33,35939.0,190,11786,N,4528,104,2,694109
5720,156870,24682,441.12,5,71,Y,8,N,N,1,5,N,0,33,24818.0,408,67603,N,6577,46,2,693392
5720,84437,152343,334.6,5,60,Y,8,N,N,1,5,N,0,33,24759.0,192,67588,N,6593,75,2,693390
3218,77441,206437,829.98,5,38,N,5,N,N,1,5,N,0,36,102458.0,263,694,Y,5839,78,0,700474
3348,74104,3672,1016.34,5,62,Y,8,N,N,1,5,N,0,33,143911.0,289,54828,N,3460,46,0,694838
6760,127585,61198,573.76,5,10,Y,2,N,N,1,5,N,0,33,70735.0,192,66634,N,6593,75,0,1867411
6215,110037,192904,0.0,5,62,N,2,N,N,1,5,N,0,65,231030.0,380,54238,N,6580,38,0,1902797
6215,80600,164842,1016.34,5,62,Y,2,N,N,1,5,N,0,41,150339.0,289,54828,N,3460,46,0,1876787
6878,78755,63691,0.0,4,62,N,2,N,N,1,5,N,0,41,151949.0,318,57429,N,0,52,0,928849
6540,156490,135680,803.81,5,61,Y,2,N,N,1,5,N,0,32,94503.0,288,55807,N,6580,104,0,1866216
3371,139752,126077,102.45,5,61,N,2,N,N,1,5,N,0,37,131657.0,201,103224,N,6001,104,0,702500
3221,144760,135479,1009.82,5,61,Y,8,N,N,1,5,N,0,66,131610.0,288,55807,N,6580,104,0,749367
6296,107735,53674,973.95,4,61,Y,2,N,N,1,5,N,0,67,194419.0,319,10964,N,5211,104,2,1904790
6215,54314,117303,1016.34,5,62,Y,2,N,N,1,5,N,0,32,212118.0,380,54238,N,6580,38,0,1867072
6080,49193,148100,101.79,5,61,Y,2,N,N,1,5,N,0,65,192047.0,15,100837,N,4120,32,2,1902489
3348,124331,177704,1016.34,5,62,Y,8,N,N,1,5,N,0,67,143519.0,289,54828,N,3460,46,0,750890
5865,34617,30905,1949.46,5,61,Y,8,N,N,1,5,N,0,32,231755.0,277,68237,N,4099,104,2,693174
6215,89714,161811,1016.34,5,62,Y,2,N,N,1,5,N,0,33,162741.0,380,54238,N,6580,38,0,1867815
6540,157105,156045,0.0,5,61,N,2,N,N,1,5,N,0,32,113748.0,367,55575,N,4912,104,2,1866312
4034,60075,100329,1305.51,5,71,N,2,N,N,1,5,N,0,67,1941.0,349,53395,N,6163,50,0,750239
6540,17366,63441,0.0,5,61,N,2,N,N,1,5,N,0,47,175455.0,289,45597,N,1337,104,2,1883400
